ID,Type,Epoch,Loss,Accuracy
1,Training,0,4.612469673156738,0.05
2,Training,0,4.629679126124228,0.01129032258064516
3,Training,0,4.629833643553687,0.01721311475409836
4,Validation,0,4.667233943939209,0.0
5,Validation,0,4.598500988700173,0.02727272727272728
6,Validation,0,4.5879974365234375,0.03333333333333334
7,Training,1,4.556633949279785,0.0
8,Training,1,4.5209189230395905,0.03548387096774194
9,Training,1,4.519913477975814,0.03852459016393443
10,Validation,1,4.526795864105225,0.05
11,Validation,1,4.40227874842557,0.06363636363636364
12,Validation,1,4.452726466315133,0.045238095238095244
13,Training,2,4.4033403396606445,0.0
14,Training,2,4.350873670270366,0.07419354838709677
15,Training,2,4.352837890875144,0.06557377049180324
16,Validation,2,4.234391212463379,0.15
17,Validation,2,4.146445252678611,0.08636363636363638
18,Validation,2,4.22770999726795,0.07823129251700682
19,Training,3,4.1762614250183105,0.15
20,Training,3,4.106793788171584,0.10161290322580645
21,Training,3,4.081902234280696,0.110655737704918
22,Validation,3,3.7214293479919434,0.1
23,Validation,3,3.909148346294056,0.1
24,Validation,3,3.9094950471605574,0.10476190476190476
25,Training,4,3.774534225463867,0.2
26,Training,4,3.772119329821679,0.1741935483870968
27,Training,4,3.7544082461810504,0.18442622950819673
28,Validation,4,3.0423026084899902,0.3
29,Validation,4,3.5423428362066094,0.14545454545454545
30,Validation,4,3.5515744459061396,0.13061224489795917
31,Training,5,3.48382568359375,0.3
32,Training,5,3.411758392087875,0.24354838709677415
33,Training,5,3.3875602307866832,0.24836065573770486
34,Validation,5,3.183037519454956,0.1
35,Validation,5,3.0799465396187524,0.2318181818181818
36,Validation,5,3.152245249067034,0.24421768707482996
37,Training,6,2.9481911659240723,0.3
38,Training,6,3.0856794234245055,0.34032258064516124
39,Training,6,3.054036152167398,0.3540983606557378
40,Validation,6,2.965583562850952,0.15
41,Validation,6,2.9345058744603936,0.23636363636363636
42,Validation,6,2.8976848806653703,0.27482993197278915
43,Training,7,2.9292867183685303,0.2
44,Training,7,2.7715235910108014,0.4080645161290323
45,Training,7,2.749018387716325,0.4106557377049181
46,Validation,7,2.383307695388794,0.45
47,Validation,7,2.6996630321849477,0.29999999999999993
48,Validation,7,2.671575035367693,0.3336734693877551
49,Training,8,2.7285208702087402,0.4
50,Training,8,2.46814900828946,0.47741935483870956
51,Training,8,2.3920118066131093,0.4950819672131147
52,Validation,8,2.659593105316162,0.3
53,Validation,8,2.442005829377608,0.35909090909090907
54,Validation,8,2.4291500874928067,0.36768707482993196
55,Training,9,1.8266626596450806,0.7
56,Training,9,2.084045752402275,0.5596774193548386
57,Training,9,2.0990571096295216,0.5622950819672131
58,Validation,9,2.2868411540985107,0.5
59,Validation,9,2.3334353511983696,0.35454545454545455
60,Validation,9,2.2957830145245506,0.3595238095238095
61,Training,10,2.077606439590454,0.6
62,Training,10,1.7796051079227078,0.667741935483871
63,Training,10,1.7754734480967287,0.6704918032786885
64,Validation,10,2.079638719558716,0.45
65,Validation,10,2.1546544270081953,0.440909090909091
66,Validation,10,2.2155425491787137,0.4180272108843538
67,Training,11,1.7780338525772095,0.6
68,Training,11,1.7248788302944553,0.7129032258064517
69,Training,11,1.7277671274591664,0.7049180327868855
70,Validation,11,3.0665364265441895,0.25
71,Validation,11,2.1387856656854805,0.45909090909090905
72,Validation,11,2.1926860298429216,0.43435374149659856
73,Training,12,1.5198055505752563,0.85
74,Training,12,1.6994347072416736,0.7241935483870967
75,Training,12,1.722541854029796,0.7073770491803281
76,Validation,12,2.061659336090088,0.35
77,Validation,12,2.257436297156594,0.4272727272727273
78,Validation,12,2.152455375308082,0.4602040816326531
79,Training,13,1.7386796474456787,0.7
80,Training,13,1.685729745895632,0.7354838709677418
81,Training,13,1.704200140765456,0.721311475409836
82,Validation,13,2.5980818271636963,0.4
83,Validation,13,2.2972507910294966,0.41818181818181815
84,Validation,13,2.15889078662509,0.451360544217687
85,Training,14,1.5645222663879395,0.75
86,Training,14,1.6288022879631288,0.7354838709677419
87,Training,14,1.6368715743549536,0.731967213114754
88,Validation,14,2.4170470237731934,0.4
89,Validation,14,2.1622514616359365,0.4454545454545455
90,Validation,14,2.1454609973090037,0.4326530612244899
91,Training,15,1.4672105312347412,0.75
92,Training,15,1.5956452508126535,0.7516129032258067
93,Training,15,1.5875860784874587,0.7598360655737704
94,Validation,15,1.9643075466156006,0.5
95,Validation,15,2.012964064424688,0.49545454545454554
96,Validation,15,2.155770670799982,0.4472789115646259
97,Training,16,1.5352108478546143,0.8
98,Training,16,1.5971112405100176,0.7419354838709677
99,Training,16,1.6051132151337921,0.7418032786885245
100,Validation,16,2.133528232574463,0.5
101,Validation,16,2.230936949903315,0.4272727272727272
102,Validation,16,2.091932171867007,0.4602040816326531
103,Training,17,1.6305958032608032,0.7
104,Training,17,1.6136235421703709,0.7306451612903226
105,Training,17,1.5811202838772633,0.7475409836065573
106,Validation,17,2.130060911178589,0.5
107,Validation,17,2.1352048136971216,0.4772727272727273
108,Validation,17,2.1041490520749773,0.44931972789115654
109,Training,18,1.4064499139785767,0.8
110,Training,18,1.5503375184151433,0.7403225806451615
111,Training,18,1.5308346298874402,0.7483606557377053
112,Validation,18,1.4390628337860107,0.65
113,Validation,18,2.0809040611440484,0.4
114,Validation,18,2.095779021581014,0.44183673469387763
115,Training,19,1.3735792636871338,0.9
116,Training,19,1.5268953577164681,0.7580645161290324
117,Training,19,1.4912847436842371,0.7836065573770494
118,Validation,19,1.9750648736953735,0.45
119,Validation,19,1.9925218712199817,0.47272727272727283
120,Validation,19,2.0366102570579168,0.4625850340136055
